a0,alpha,n_iter,prior_mean,prior_rho,v,x_id
0.1,0.56,138,0,0.6,0.5530680868166449,z
0.1,0.58,116,0,0.6,0.5759582597714579,x
0.1,0.58,116,0,0.6,0.5362088031141358,z
0.1,0.6,102,0,0.6,0.5685223336543997,x
0.1,0.6,102,0,0.6,0.518897584675447,z
0.1,0.62,92,0,0.6,0.5605148433377563,x
0.1,0.62,92,0,0.6,0.5011780514259963,z
0.1,0.64,85,0,0.6,0.551918262121716,x
0.1,0.64,85,0,0.6,0.4830765004322809,z
0.1,0.66,80,0,0.6,0.5427080042927968,x
0.1,0.66,80,0,0.6,0.4646078649408424,z
0.1,0.68,76,0,0.6,0.5328523593519123,x
0.1,0.68,76,0,0.6,0.4457782720711651,z
0.1,0.7000000000000001,73,0,0.6,0.5223117260060556,x
0.1,0.7000000000000001,73,0,0.6,0.42658598458906,z
0.1,0.72,71,0,0.6,0.5110381908168548,x
0.1,0.72,71,0,0.6,0.407023397437415,z
0.1,0.74,69,0,0.6,0.4989746991491349,x
0.1,0.74,69,0,0.6,0.3870784155677749,z
0.1,0.76,68,0,0.6,0.4860519665183908,x
0.1,0.76,68,0,0.6,0.36673199591384453,z
0.1,0.78,67,0,0.6,0.47218726073801875,x
0.1,0.78,67,0,0.6,0.3459607692962604,z
0.1,0.8,67,0,0.6,0.45727838199236276,x
0.1,0.8,67,0,0.6,0.3247321804983596,z
0.1,0.8200000000000001,67,0,0.6,0.4411989099594525,x
0.1,0.8200000000000001,67,0,0.6,0.3030050932326699,z
0.1,0.84,68,0,0.6,0.4237858276813848,x
0.1,0.84,68,0,0.6,0.28072166560408846,z
0.1,0.86,69,0,0.6,0.404824293975085,x
0.1,0.86,69,0,0.6,0.25780250935980653,z
0.1,0.88,71,0,0.6,0.38401523453205355,x
0.1,0.88,71,0,0.6,0.23412867674812765,z
0.1,0.9,74,0,0.6,0.3609193174028906,x
0.1,0.9,74,0,0.6,0.20951563489132727,z
0.1,0.92,78,0,0.6,0.3348335509605415,x
0.1,0.92,78,0,0.6,0.1836507431691257,z
0.1,0.9400000000000001,85,0,0.6,0.30447855115672323,x
0.1,0.9400000000000001,85,0,0.6,0.1559330115912793,z
0.1,0.96,101,0,0.6,0.26694039983161955,x
0.1,0.96,101,0,0.6,0.12492451373470063,z
0.1,0.98,160,0,0.6,0.21028079437201488,x
0.1,0.98,160,0,0.6,0.08444026159315111,z
0.1,1.0,77,0,0.6,4.680436571925056e-10,x
0.1,1.0,77,0,0.6,9.790814084664799e-12,z
0.1,1.02,53,0,0.6,7.498297435668737e-11,x
0.1,1.02,53,0,0.6,8.823293715511963e-12,z
0.1,1.04,43,0,0.6,2.4143157733924154e-10,x
0.1,1.04,43,0,0.6,9.995764732004407e-12,z
0.1,1.06,38,0,0.6,4.791859225834401e-11,x
0.1,1.06,38,0,0.6,8.587468413670071e-12,z
0.1,1.08,35,0,0.6,3.257919999506381e-11,x
0.1,1.08,35,0,0.6,7.65143544238518e-12,z
0.1,1.1,32,0,0.6,2.8206116634742154e-11,x
0.1,1.1,32,0,0.6,7.382618051553912e-12,z
0.1,1.12,30,0,0.6,2.500739784168158e-11,x
0.1,1.12,30,0,0.6,7.143460920681888e-12,z
0.1,1.1400000000000001,28,0,0.6,7.139566123268606e-11,x
0.1,1.1400000000000001,28,0,0.6,9.9996226582172e-12,z
0.1,1.16,27,0,0.6,2.057723573072303e-11,x
0.1,1.16,27,0,0.6,6.729593188846595e-12,z
0.1,1.18,26,0,0.6,1.8962253362334648e-11,x
0.1,1.18,26,0,0.6,6.5472299841817635e-12,z
0.1,1.2,25,0,0.6,1.7608069250284204e-11,x
0.1,1.2,25,0,0.6,6.377870574959871e-12,z
1000.0,0.02,8,0,0.4,0.39999999957466764,x
1000.0,0.02,8,0,0.4,0.3999999681000606,z
1000.0,0.04,9,0,0.4,0.3999999993062128,x
1000.0,0.04,9,0,0.4,0.39999997398297743,z
1000.0,0.06,10,0,0.4,0.399999996625911,x
1000.0,0.06,10,0,0.4,0.3999999156477748,z
1000.0,0.08,11,0,0.4,0.3999999921487298,x
1000.0,0.08,11,0,0.4,0.3999998527886835,z
1000.0,0.1,12,0,0.4,0.3999999853666632,x
1000.0,0.1,12,0,0.4,0.3999997804999393,z
1000.0,0.12,14,0,0.4,0.39999999360466476,x
1000.0,0.12,14,0,0.4,0.399999920058309,z
1000.0,0.14,15,0,0.4,0.39999998581253754,x
1000.0,0.14,15,0,0.4,0.39999984799146804,z
1000.0,0.16,16,0,0.4,0.3999999702390959,x
1000.0,0.16,16,0,0.4,0.39999972099150227,z
1000.0,0.18,17,0,0.4,0.39999993980604326,x
1000.0,0.18,17,0,0.4,0.3999994983836191,z
1000.0,0.2,19,0,0.4,0.3999999510009428,x
1000.0,0.2,19,0,0.4,0.39999963250702547,z
1000.0,0.22,20,0,0.4,0.39999988701532296,x
1000.0,0.22,20,0,0.4,0.39999922964971185,z
1000.0,0.24,22,0,0.4,0.39999987390148567,x
1000.0,0.24,22,0,0.4,0.3999992118840372,z
1000.0,0.26,24,0,0.4,0.39999983444589327,x
1000.0,0.26,24,0,0.4,0.3999990448797586,z
1000.0,0.28,27,0,0.4,0.399999858020922,x
1000.0,0.28,27,0,0.4,0.39999923939752563,z
1000.0,0.3,29,0,0.4,0.3999997319896623,x
1000.0,0.3,29,0,0.4,0.3999986599474131,z
1000.0,0.32,32,0,0.4,0.3999996364569678,x
1000.0,0.32,32,0,0.4,0.399998295890488,z
1000.0,0.34,36,0,0.4,0.3999995790591496,x
1000.0,0.34,36,0,0.4,0.3999981429060591,z
1000.0,0.36,41,0,0.4,0.3999995191145236,x
1000.0,0.36,41,0,0.4,0.3999979963081065,z
1000.0,0.38,47,0,0.4,0.3999993829388094,x
1000.0,0.38,47,0,0.4,0.39999756422838517,z
1000.0,0.4,54,0,0.4,0.3999990072749743,x
1000.0,0.4,54,0,0.4,0.3999962772719153,z
1000.0,0.42,65,0,0.4,0.39999869889728973,x
1000.0,0.42,65,0,0.4,0.3999953531894927,z
1000.0,0.44,81,0,0.4,0.39999801309932725,x
1000.0,0.44,81,0,0.4,0.39999322644133706,z
1000.0,0.46,109,0,0.4,0.39999663023471066,x
1000.0,0.46,109,0,0.4,0.3999890115423723,z
1000.0,0.48,176,0,0.4,0.39999260312836454,x
1000.0,0.48,176,0,0.4,0.39997688434884454,z
1000.0,0.5,30,0,0.4,2.038072177797511e-06,x
1000.0,0.5,30,0,0.4,9.999950934265023e-12,z
1000.0,0.52,20,0,0.4,1.764183790145433e-06,x
1000.0,0.52,20,0,0.4,9.999943316884712e-12,z
1000.0,0.54,16,0,0.4,1.3452950544447962e-06,x
1000.0,0.54,16,0,0.4,9.999925667416716e-12,z
1000.0,0.56,14,0,0.4,8.253306766213745e-07,x
1000.0,0.56,14,0,0.4,9.999878837911627e-12,z
1000.0,0.58,12,0,0.4,8.206787278846243e-07,x
1000.0,0.58,12,0,0.4,9.999878151122828e-12,z
1000.0,0.6,11,0,0.4,5.591025922827662e-07,x
1000.0,0.6,11,0,0.4,9.999821145147899e-12,z
1000.0,0.62,10,0,0.4,4.664585669123342e-07,x
1000.0,0.62,10,0,0.4,9.999785623282908e-12,z
1000.0,0.64,9,0,0.4,4.776962282635843e-07,x
1000.0,0.64,9,0,0.4,9.999790666325703e-12,z
1000.0,0.66,9,0,0.4,2.0415820150540178e-07,x
1000.0,0.66,9,0,0.4,9.999510207763682e-12,z
1000.0,0.68,8,0,0.4,2.7141383168166744e-07,x
1000.0,0.68,8,0,0.4,9.999631572513806e-12,z
1000.0,0.7000000000000001,8,0,0.4,1.2646265749132873e-07,x
1000.0,0.7000000000000001,8,0,0.4,9.999209315262418e-12,z
1000.0,0.72,7,0,0.4,2.1968782686345862e-07,x
1000.0,0.72,7,0,0.4,9.999544829362097e-12,z
1000.0,0.74,7,0,0.4,1.0776672113357799e-07,x
1000.0,0.74,7,0,0.4,9.99907215585195e-12,z
1000.0,0.76,6,0,0.4,2.4057477522224927e-07,x
1000.0,0.76,6,0,0.4,9.999584346100422e-12,z
1000.0,0.78,6,0,0.4,1.265530221902379e-07,x
1000.0,0.78,6,0,0.4,9.999209879803205e-12,z
1000.0,0.8,6,0,0.4,6.436028776536462e-08,x
1000.0,0.8,6,0,0.4,9.998446488225056e-12,z
1000.0,0.8200000000000001,6,0,0.4,3.139240174600871e-08,x
1000.0,0.8200000000000001,6,0,0.4,9.996815530200244e-12,z
1000.0,0.84,5,0,0.4,1.1282830533445349e-07,x
1000.0,0.84,5,0,0.4,9.999113776126787e-12,z
1000.0,0.86,5,0,0.4,5.7172778016209445e-08,x
1000.0,0.86,5,0,0.4,9.998251221723231e-12,z
1000.0,0.88,5,0,0.4,2.7048552543508086e-08,x
1000.0,0.88,5,0,0.4,9.996304310814883e-12,z
1000.0,0.9,5,0,0.4,1.1688743836124745e-08,x
1000.0,0.9,5,0,0.4,9.991452073709726e-12,z
1000.0,0.92,5,0,0.4,4.47856465299766e-09,x
1000.0,0.92,5,0,0.4,9.977721163059727e-12,z
1000.0,0.9400000000000001,4,0,0.4,3.1308078831465246e-08,x
1000.0,0.9400000000000001,4,0,0.4,9.996806956118281e-12,z
1000.0,0.96,4,0,0.4,1.0385405920789936e-08,x
1000.0,0.96,4,0,0.4,9.99038036602303e-12,z
1000.0,0.98,4,0,0.4,2.243904501178736e-09,x
1000.0,0.98,4,0,0.4,9.955632547897352e-12,z
1000.0,1.0,4,0,0.4,2.118098867281017e-10,x
1000.0,1.0,4,0,0.4,9.549163468431948e-12,z
1000.0,1.02,4,0,0.4,4.985228028959378e-11,x
1000.0,1.02,4,0,0.4,8.329219880743853e-12,z
1000.0,1.04,4,0,0.4,3.3306914642902435e-11,x
1000.0,1.04,4,0,0.4,7.690899921535074e-12,z
1000.0,1.06,4,0,0.4,2.6016264171785544e-11,x
1000.0,1.06,4,0,0.4,7.223476607039713e-12,z
1000.0,1.08,4,0,0.4,2.1708154745530337e-11,x
1000.0,1.08,4,0,0.4,6.846237165090905e-12,z
1000.0,1.1,4,0,0.4,1.879517738951351e-11,x
1000.0,1.1,4,0,0.4,6.5271962507021254e-12,z
1000.0,1.12,4,0,0.4,1.6664698642382885e-11,x
1000.0,1.12,4,0,0.4,6.249723226158929e-12,z
1000.0,1.1400000000000001,3,0,0.4,7.133513312407156e-11,x
1000.0,1.1400000000000001,3,0,0.4,9.999295637507944e-12,z
1000.0,1.16,3,0,0.4,6.242165405173221e-11,x
1000.0,1.16,3,0,0.4,9.999165419993675e-12,z
1000.0,1.18,3,0,0.4,5.46622946637632e-11,x
1000.0,1.18,3,0,0.4,9.986663468332086e-12,z
1000.0,1.2,3,0,0.4,4.906084287381387e-11,x
1000.0,1.2,3,0,0.4,9.981590334998863e-12,z
1000.0,0.02,8,0,0.6,0.5999999993927163,x
1000.0,0.02,8,0,0.6,0.5999999544537342,z
1000.0,0.04,9,0,0.6,0.5999999997555212,x
1000.0,0.04,9,0,0.6,0.5999999908320424,z
1000.0,0.06,10,0,0.6,0.5999999985259552,x
1000.0,0.06,10,0,0.6,0.5999999631488822,z
1000.0,0.08,11,0,0.6,0.5999999971099667,x
1000.0,0.08,11,0,0.6,0.5999999458118765,z
1000.0,0.1,12,0,0.6,0.5999999937062995,x
1000.0,0.1,12,0,0.6,0.5999999055944905,z
1000.0,0.12,13,0,0.6,0.5999999882898386,x
1000.0,0.12,13,0,0.6,0.59999985362298,z
1000.0,0.14,14,0,0.6,0.5999999779457275,x
1000.0,0.14,14,0,0.6,0.5999997637042127,z
1000.0,0.16,15,0,0.6,0.5999999595683557,x
1000.0,0.16,15,0,0.6,0.5999996209533077,z
1000.0,0.18,17,0,0.6,0.5999999735167871,x
1000.0,0.18,17,0,0.6,0.5999997793065514,z
1000.0,0.2,18,0,0.6,0.5999999457060312,x
1000.0,0.2,18,0,0.6,0.599999592795199,z
1000.0,0.22,19,0,0.6,0.599999888183375,x
1000.0,0.22,19,0,0.6,0.5999992376137786,z
1000.0,0.24,21,0,0.6,0.5999998878783154,x
1000.0,0.24,21,0,0.6,0.5999992992393415,z
1000.0,0.26,23,0,0.6,0.5999998652239138,x
1000.0,0.26,23,0,0.6,0.5999992224454844,z
1000.0,0.28,25,0,0.6,0.5999998087763851,x
1000.0,0.28,25,0,0.6,0.5999989755874497,z
1000.0,0.3,28,0,0.6,0.5999998109581869,x
1000.0,0.3,28,0,0.6,0.5999990547906371,z
1000.0,0.32,31,0,0.6,0.5999997568260084,x
1000.0,0.32,31,0,0.6,0.599998860121452,z
1000.0,0.34,34,0,0.6,0.5999996043234342,x
1000.0,0.34,34,0,0.6,0.599998254366941,z
1000.0,0.36,38,0,0.6,0.599999428289573,x
1000.0,0.36,38,0,0.6,0.5999976178709512,z
1000.0,0.38,44,0,0.6,0.5999993594647284,x
1000.0,0.38,44,0,0.6,0.599997471568598,z
1000.0,0.4,51,0,0.6,0.5999990835189116,x
1000.0,0.4,51,0,0.6,0.5999965631906706,z
1000.0,0.42,61,0,0.6,0.5999986979995122,x
1000.0,0.42,61,0,0.6,0.5999953499881674,z
1000.0,0.44,76,0,0.6,0.5999979743043096,x
1000.0,0.44,76,0,0.6,0.5999930941959241,z
1000.0,0.46,103,0,0.6,0.5999966477558268,x
1000.0,0.46,103,0,0.6,0.599989068707934,z
1000.0,0.48,167,0,0.6,0.5999923990303089,x
1000.0,0.48,167,0,0.6,0.5999762466688693,z
1000.0,0.5,200,0,0.6,0.5993522840876397,x
1000.0,0.5,200,0,0.6,0.5980547887606741,z
1000.0,0.52,184,0,0.6,0.5948649390453407,x
1000.0,0.52,184,0,0.6,0.585074482307165,z
1000.0,0.54,124,0,0.6,0.5891341128787985,x
1000.0,0.54,124,0,0.6,0.5693804279592847,z
1000.0,0.56,100,0,0.6,0.5828252170484074,x
1000.0,0.56,100,0,0.6,0.5530493120262906,z
1000.0,0.58,86,0,0.6,0.5759526232707501,x
1000.0,0.58,86,0,0.6,0.5361936458079902,z
1000.0,0.6,78,0,0.6,0.5685174690533412,x
1000.0,0.6,78,0,0.6,0.5188849057326237,z
1000.0,0.62,73,0,0.6,0.5605103474166678,x
1000.0,0.62,73,0,0.6,0.5011667134265976,z
1000.0,0.64,70,0,0.6,0.5519140802171462,x
1000.0,0.64,70,0,0.6,0.48306631491429775,z
1000.0,0.66,69,0,0.6,0.5427042434326131,x
1000.0,0.66,69,0,0.6,0.46459903523695273,z
1000.0,0.68,69,0,0.6,0.5328485461819111,x
1000.0,0.68,69,0,0.6,0.44576966010740005,z
1000.0,0.7000000000000001,74,0,0.6,0.5223078663035834,x
1000.0,0.7000000000000001,74,0,0.6,0.4265776173775331,z
1000.0,0.72,25,0,0.6,1.1059774336480897e-06,x
1000.0,0.72,25,0,0.6,9.999909583059484e-12,z
1000.0,0.74,18,0,0.6,7.292774786020233e-07,x
1000.0,0.74,18,0,0.6,9.9998628798616e-12,z
1000.0,0.76,14,0,0.6,8.165139420679854e-07,x
1000.0,0.76,14,0,0.6,9.999877529616895e-12,z
1000.0,0.78,12,0,0.6,5.708054021228679e-07,x
1000.0,0.78,12,0,0.6,9.999824812015181e-12,z
1000.0,0.8,11,0,0.6,2.7025084355041695e-07,x
1000.0,0.8,11,0,0.6,9.999629987094366e-12,z
1000.0,0.8200000000000001,9,0,0.6,4.823781810881468e-07,x
1000.0,0.8200000000000001,9,0,0.6,9.999792698071969e-12,z
1000.0,0.84,9,0,0.6,1.2810922115284305e-07,x
1000.0,0.84,9,0,0.6,9.999219476991039e-12,z
1000.0,0.86,8,0,0.6,1.2103768929409022e-07,x
1000.0,0.86,8,0,0.6,9.999173879314981e-12,z
1000.0,0.88,7,0,0.6,1.5075448901268993e-07,x
1000.0,0.88,7,0,0.6,9.999336713833245e-12,z
1000.0,0.9,7,0,0.6,4.133558282431877e-08,x
1000.0,0.9,7,0,0.6,9.997581361945605e-12,z
1000.0,0.92,6,0,0.6,6.681126976759943e-08,x
1000.0,0.92,6,0,0.6,9.99850347052147e-12,z
1000.0,0.9400000000000001,6,0,0.6,1.3753840246078495e-08,x
1000.0,0.9400000000000001,6,0,0.6,9.992734585826909e-12,z
1000.0,0.96,5,0,0.6,2.940733055468006e-08,x
1000.0,0.96,5,0,0.6,9.996600643290384e-12,z
1000.0,0.98,5,0,0.6,2.981191525314055e-09,x
1000.0,0.98,5,0,0.6,9.966568506511965e-12,z
1000.0,1.0,4,0,0.6,6.793528765264745e-10,x
1000.0,1.0,4,0,0.6,9.854936414418283e-12,z
1000.0,1.02,4,0,0.6,7.50391430448333e-11,x
1000.0,1.02,4,0,0.6,8.82407093463678e-12,z
1000.0,1.04,4,0,0.6,5.0022496104901454e-11,x
1000.0,1.04,4,0,0.6,8.33395799093011e-12,z
1000.0,1.06,4,0,0.6,3.9053929028284895e-11,x
1000.0,1.06,4,0,0.6,7.961427311106124e-12,z
1000.0,1.08,4,0,0.6,3.258056685624891e-11,x
1000.0,1.08,4,0,0.6,7.651510832685768e-12,z
1000.0,1.1,4,0,0.6,2.8205818989110515e-11,x
1000.0,1.1,4,0,0.6,7.382597660620707e-12,z
1000.0,1.12,4,0,0.6,2.5007152989224623e-11,x
1000.0,1.12,4,0,0.6,7.1434409410333806e-12,z
1000.0,1.1400000000000001,4,0,0.6,2.25442457830987e-11,x
1000.0,1.1400000000000001,4,0,0.6,6.927260177836622e-12,z
1000.0,1.16,4,0,0.6,2.0577033257190687e-11,x
1000.0,1.16,4,0,0.6,6.729571533023617e-12,z
1000.0,1.18,4,0,0.6,1.896212142056887e-11,x
1000.0,1.18,4,0,0.6,6.547214254513134e-12,z
1000.0,1.2,4,0,0.6,1.760793748238747e-11,x
1000.0,1.2,4,0,0.6,6.377853287164416e-12,z
