N,alpha,n_iter,prior_mean,source,v,x_id
1000,0.7000000000000001,34.0,0.01,SE,0.4999676857935588,x
1000,0.7000000000000001,29.0,0.01,EP,0.49971809856802074,x
1000,0.7000000000000001,,0.01,mse,0.48927000541153043,x
1000,0.7000000000000001,,0.01,phase_mse,0.4888015591309935,x
1000,0.72,36.0,0.01,SE,0.49996133194003983,x
1000,0.72,73.0,0.01,EP,0.501865067324909,x
1000,0.72,,0.01,mse,0.5121195111805498,x
1000,0.72,,0.01,phase_mse,0.5067311118563904,x
1000,0.74,38.0,0.01,SE,0.4999543835577993,x
1000,0.74,62.0,0.01,EP,0.5004532476679193,x
1000,0.74,,0.01,mse,0.4879125263828917,x
1000,0.74,,0.01,phase_mse,0.4874474402981277,x
1000,0.76,39.0,0.01,SE,0.49994833870141187,x
1000,0.76,15.0,0.01,EP,0.48452031775116794,x
1000,0.76,,0.01,mse,0.4942997216948389,x
1000,0.76,,0.01,phase_mse,0.49233917982062053,x
1000,0.78,43.0,0.01,SE,0.4999370806786637,x
1000,0.78,18.0,0.01,EP,0.4912794769797998,x
1000,0.78,,0.01,mse,0.5233297061314902,x
1000,0.78,,0.01,phase_mse,0.5222529976687659,x
1000,0.8,46.0,0.01,SE,0.49992635120399936,x
1000,0.8,18.0,0.01,EP,0.47264760148240703,x
1000,0.8,,0.01,mse,0.47644648969186415,x
1000,0.8,,0.01,phase_mse,0.4755703597818447,x
1000,0.8200000000000001,50.0,0.01,SE,0.4999133575825432,x
1000,0.8200000000000001,24.0,0.01,EP,0.500204619721605,x
1000,0.8200000000000001,,0.01,mse,0.5154655871676268,x
1000,0.8200000000000001,,0.01,phase_mse,0.5136294011381629,x
1000,0.84,55.0,0.01,SE,0.499896746561712,x
1000,0.84,33.0,0.01,EP,0.4885039619428352,x
1000,0.84,,0.01,mse,0.5190808076011187,x
1000,0.84,,0.01,phase_mse,0.517964828908857,x
1000,0.86,61.0,0.01,SE,0.4998751495282946,x
1000,0.86,118.0,0.01,EP,0.5070492128776999,x
1000,0.86,,0.01,mse,0.5198304718148915,x
1000,0.86,,0.01,phase_mse,0.4890866697004002,x
1000,0.88,71.0,0.01,SE,0.4998421476957399,x
1000,0.88,29.0,0.01,EP,0.49728072741680945,x
1000,0.88,,0.01,mse,0.5074818126114102,x
1000,0.88,,0.01,phase_mse,0.5074808702592842,x
1000,0.9,81.0,0.01,SE,0.49980849328414556,x
1000,0.9,200.0,0.01,EP,0.500310997002593,x
1000,0.9,,0.01,mse,0.48803208337984577,x
1000,0.9,,0.01,phase_mse,0.4870346782622137,x
1000,0.92,99.0,0.01,SE,0.4997484097379253,x
1000,0.92,105.0,0.01,EP,0.5091370366132553,x
1000,0.92,,0.01,mse,0.541565922786775,x
1000,0.92,,0.01,phase_mse,0.5245620374885414,x
1000,0.9400000000000001,128.0,0.01,SE,0.4996476570733447,x
1000,0.9400000000000001,200.0,0.01,EP,0.4898040992324286,x
1000,0.9400000000000001,,0.01,mse,0.49601872644522244,x
1000,0.9400000000000001,,0.01,phase_mse,0.4959229771724695,x
1000,0.96,178.0,0.01,SE,0.4994675669239157,x
1000,0.96,200.0,0.01,EP,0.5047296129405365,x
1000,0.96,,0.01,mse,0.5332792938622543,x
1000,0.96,,0.01,phase_mse,0.5086753466218848,x
1000,0.98,200.0,0.01,SE,0.49920969058247905,x
1000,0.98,120.0,0.01,EP,0.49676652026740936,x
1000,0.98,,0.01,mse,0.49927581292445883,x
1000,0.98,,0.01,phase_mse,0.49460186945427576,x
1000,1.0,200.0,0.01,SE,0.4984180327118886,x
1000,1.0,200.0,0.01,EP,0.5096884293349345,x
1000,1.0,,0.01,mse,0.4638612086398417,x
1000,1.0,,0.01,phase_mse,0.46385061016711504,x
1000,1.02,200.0,0.01,SE,0.49648995205382174,x
1000,1.02,200.0,0.01,EP,0.49152371921528065,x
1000,1.02,,0.01,mse,0.6352468784025368,x
1000,1.02,,0.01,phase_mse,0.4745721833291534,x
1000,1.04,200.0,0.01,SE,0.4933267181036281,x
1000,1.04,200.0,0.01,EP,0.491127703937407,x
1000,1.04,,0.01,mse,0.5360542401944491,x
1000,1.04,,0.01,phase_mse,0.4901539024296417,x
1000,1.06,200.0,0.01,SE,0.4886792156813329,x
