N,alpha,f,n_iter,prior_rho,source,v,x_id
1000,0.9591836734693877,abs,5.0,0.25,EP,1.2012351144379752e-09,x
1000,0.9591836734693877,abs,,0.25,mse,2.3405895811502355e-09,x
1000,0.9795918367346939,abs,4.0,0.25,SE,4.6029031988735956e-09,x
1000,0.9795918367346939,abs,4.0,0.25,EP,5.817463709698459e-09,x
1000,0.9795918367346939,abs,,0.25,mse,5.696298921335314e-09,x
1000,1.0,abs,2.0,0.25,SE,8.478435215818283e-10,x
1000,1.0,abs,2.0,0.25,EP,8.376344007750646e-10,x
1000,1.0,abs,,0.25,mse,9.190345793047565e-10,x
1000,0.02040816326530612,abs,3.0,0.5,SE,0.48999413031188443,x
1000,0.02040816326530612,abs,4.0,0.5,EP,0.48536052954143594,x
1000,0.02040816326530612,abs,,0.5,mse,0.5077823025537929,x
1000,0.04081632653061224,abs,3.0,0.5,SE,0.4799542312169422,x
1000,0.04081632653061224,abs,5.0,0.5,EP,0.4746863401219859,x
1000,0.04081632653061224,abs,,0.5,mse,0.401833985823508,x
1000,0.061224489795918366,abs,3.0,0.5,SE,0.4693425343070441,x
1000,0.061224489795918366,abs,7.0,0.5,EP,0.4717251358184627,x
1000,0.061224489795918366,abs,,0.5,mse,0.5586485325659494,x
1000,0.08163265306122448,abs,3.0,0.5,SE,0.45914280262864876,x
1000,0.08163265306122448,abs,6.0,0.5,EP,0.45706636174246634,x
1000,0.08163265306122448,abs,,0.5,mse,0.4693322965175927,x
1000,0.1020408163265306,abs,4.0,0.5,SE,0.4483115593529883,x
1000,0.1020408163265306,abs,6.0,0.5,EP,0.4571063729044569,x
1000,0.1020408163265306,abs,,0.5,mse,0.4870263730997097,x
1000,0.12244897959183673,abs,4.0,0.5,SE,0.43786285300457867,x
1000,0.12244897959183673,abs,7.0,0.5,EP,0.42904908989870594,x
1000,0.12244897959183673,abs,,0.5,mse,0.4241962982404433,x
1000,0.14285714285714285,abs,4.0,0.5,SE,0.4272708769570781,x
1000,0.14285714285714285,abs,8.0,0.5,EP,0.4332555514385499,x
1000,0.14285714285714285,abs,,0.5,mse,0.4097401669603436,x
1000,0.16326530612244897,abs,4.0,0.5,SE,0.4159842465289819,x
1000,0.16326530612244897,abs,9.0,0.5,EP,0.4084823623918703,x
1000,0.16326530612244897,abs,,0.5,mse,0.40991308866414045,x
1000,0.18367346938775508,abs,5.0,0.5,SE,0.4050700864533955,x
1000,0.18367346938775508,abs,7.0,0.5,EP,0.3915985738576193,x
1000,0.18367346938775508,abs,,0.5,mse,0.4110557339461072,x
1000,0.2040816326530612,abs,5.0,0.5,SE,0.39343083473308216,x
1000,0.2040816326530612,abs,7.0,0.5,EP,0.39276611842849385,x
1000,0.2040816326530612,abs,,0.5,mse,0.39668800720494746,x
1000,0.22448979591836732,abs,5.0,0.5,SE,0.3821706714376647,x
1000,0.22448979591836732,abs,8.0,0.5,EP,0.38737023173682594,x
1000,0.22448979591836732,abs,,0.5,mse,0.4185306157124163,x
1000,0.24489795918367346,abs,5.0,0.5,SE,0.3707363862296831,x
1000,0.24489795918367346,abs,9.0,0.5,EP,0.3677691963862145,x
1000,0.24489795918367346,abs,,0.5,mse,0.41964755756468647,x
1000,0.26530612244897955,abs,6.0,0.5,SE,0.35854011385870715,x
1000,0.26530612244897955,abs,10.0,0.5,EP,0.35979910725563813,x
1000,0.26530612244897955,abs,,0.5,mse,0.3713195204869591,x
1000,0.2857142857142857,abs,6.0,0.5,SE,0.34674103489428315,x
1000,0.2857142857142857,abs,9.0,0.5,EP,0.342432527350036,x
1000,0.2857142857142857,abs,,0.5,mse,0.34222799244027974,x
1000,0.3061224489795918,abs,6.0,0.5,SE,0.33415662917974776,x
1000,0.3061224489795918,abs,10.0,0.5,EP,0.33381193453842434,x
1000,0.3061224489795918,abs,,0.5,mse,0.29475754103431134,x
1000,0.32653061224489793,abs,6.0,0.5,SE,0.32198269696324616,x
1000,0.32653061224489793,abs,9.0,0.5,EP,0.3227035029836856,x
1000,0.32653061224489793,abs,,0.5,mse,0.28923943230786087,x
1000,0.3469387755102041,abs,7.0,0.5,SE,0.3096212747787883,x
1000,0.3469387755102041,abs,8.0,0.5,EP,0.3291441675910657,x
1000,0.3469387755102041,abs,,0.5,mse,0.32559098256971203,x
1000,0.36734693877551017,abs,7.0,0.5,SE,0.29643582460272444,x
1000,0.36734693877551017,abs,11.0,0.5,EP,0.3078207159874903,x
1000,0.36734693877551017,abs,,0.5,mse,0.3163501024658585,x
1000,0.3877551020408163,abs,7.0,0.5,SE,0.28367678859170303,x
1000,0.3877551020408163,abs,12.0,0.5,EP,0.30475014968824793,x
1000,0.3877551020408163,abs,,0.5,mse,0.333565830010137,x
1000,0.4081632653061224,abs,8.0,0.5,SE,0.2700608101653279,x
1000,0.4081632653061224,abs,10.0,0.5,EP,0.28585289351781373,x
1000,0.4081632653061224,abs,,0.5,mse,0.27526291511017686,x
1000,0.42857142857142855,abs,8.0,0.5,SE,0.2568760588370178,x
1000,0.42857142857142855,abs,11.0,0.5,EP,0.25069565703316055,x
1000,0.42857142857142855,abs,,0.5,mse,0.24805372862646047,x
1000,0.44897959183673464,abs,9.0,0.5,SE,0.24346803000798892,x
1000,0.44897959183673464,abs,12.0,0.5,EP,0.24108045358878735,x
1000,0.44897959183673464,abs,,0.5,mse,0.22728843748375044,x
1000,0.4693877551020408,abs,9.0,0.5,SE,0.2291338775483138,x
1000,0.4693877551020408,abs,13.0,0.5,EP,0.21865142797605472,x
1000,0.4693877551020408,abs,,0.5,mse,0.19690037631766158,x
1000,0.4897959183673469,abs,10.0,0.5,SE,0.21521881558883557,x
1000,0.4897959183673469,abs,16.0,0.5,EP,0.2180716471833894,x
1000,0.4897959183673469,abs,,0.5,mse,0.20445458907339897,x
1000,0.5102040816326531,abs,10.0,0.5,SE,0.20030384003021337,x
1000,0.5102040816326531,abs,18.0,0.5,EP,0.18635094496519375,x
1000,0.5102040816326531,abs,,0.5,mse,0.14382952695056625,x
1000,0.5306122448979591,abs,11.0,0.5,SE,0.18577333192455237,x
1000,0.5306122448979591,abs,16.0,0.5,EP,0.20086066447743334,x
1000,0.5306122448979591,abs,,0.5,mse,0.2125072741052229,x
1000,0.5510204081632653,abs,12.0,0.5,SE,0.17012172911390608,x
1000,0.5510204081632653,abs,18.0,0.5,EP,0.16984692121670159,x
1000,0.5510204081632653,abs,,0.5,mse,0.20197545533549602,x
1000,0.5714285714285714,abs,13.0,0.5,SE,0.15476821546468436,x
1000,0.5714285714285714,abs,20.0,0.5,EP,0.13315835032668852,x
1000,0.5714285714285714,abs,,0.5,mse,0.14742046104877357,x
1000,0.5918367346938775,abs,15.0,0.5,SE,0.1388728848707392,x
1000,0.5918367346938775,abs,14.0,0.5,EP,0.12650404802564075,x
1000,0.5918367346938775,abs,,0.5,mse,0.13839180208104282,x
1000,0.6122448979591836,abs,17.0,0.5,SE,0.12141670018752151,x
1000,0.6122448979591836,abs,29.0,0.5,EP,0.10322634936179248,x
1000,0.6122448979591836,abs,,0.5,mse,0.10508158122148518,x
1000,0.6326530612244897,abs,21.0,0.5,SE,0.10374719222350205,x
1000,0.6326530612244897,abs,31.0,0.5,EP,0.10258597720113641,x
1000,0.6326530612244897,abs,,0.5,mse,0.10568366924823747,x
1000,0.6530612244897959,abs,27.0,0.5,SE,0.08337048406636542,x
1000,0.6530612244897959,abs,200.0,0.5,EP,0.008584780944725897,x
1000,0.6530612244897959,abs,,0.5,mse,0.018653350239460725,x
1000,0.673469387755102,abs,44.0,0.5,SE,0.060028356565368444,x
1000,0.673469387755102,abs,200.0,0.5,EP,0.03745478199685687,x
1000,0.673469387755102,abs,,0.5,mse,0.03140666372114031,x
1000,0.6938775510204082,abs,61.0,0.5,SE,4.218534996826042e-07,x
