a0,alpha,n_iter,prior_mean,prior_rho,v,x_id
0,1.58,16,0,0.4,2.0536887518965238e-07,z
0,1.6,15,0,0.4,5.15500951446957e-07,x
0,1.6,15,0,0.4,3.895421560469824e-07,z
0,1.62,15,0,0.4,3.8371459926828333e-07,x
0,1.62,15,0,0.4,2.932254209408652e-07,z
0,1.6400000000000001,15,0,0.4,2.8688788430929757e-07,x
0,1.6400000000000001,15,0,0.4,2.216760150332654e-07,z
0,1.6600000000000001,14,0,0.4,5.825884349899157e-07,x
0,1.6600000000000001,14,0,0.4,4.540893990900172e-07,z
0,1.68,14,0,0.4,4.5308935056962353e-07,x
0,1.68,14,0,0.4,3.5705514689062837e-07,z
0,1.7,14,0,0.4,3.507768238868844e-07,x
0,1.7,14,0,0.4,2.794481252020869e-07,z
0,1.72,14,0,0.4,2.7284588061116804e-07,x
0,1.72,14,0,0.4,2.197145431689214e-07,z
0,1.74,14,0,0.4,2.1320906391025713e-07,x
0,1.74,14,0,0.4,1.7352568785963242e-07,z
0,1.76,13,0,0.4,4.872476556408171e-07,x
0,1.76,13,0,0.4,3.998825377672595e-07,z
0,1.78,13,0,0.4,3.9096980968343934e-07,x
0,1.78,13,0,0.4,3.242795497122623e-07,z
0,1.8,13,0,0.4,3.171565881221493e-07,x
0,1.8,13,0,0.4,2.6581805246072484e-07,z
0,1.82,13,0,0.4,2.5583720438481074e-07,x
0,1.82,13,0,0.4,2.1665901059838208e-07,z
0,1.84,13,0,0.4,2.0706976065980464e-07,x
0,1.84,13,0,0.4,1.7716755011614023e-07,z
0,1.86,13,0,0.4,1.6821438251645302e-07,x
0,1.86,13,0,0.4,1.4539403994327574e-07,z
0,1.8800000000000001,12,0,0.4,4.375384622544133e-07,x
0,1.8800000000000001,12,0,0.4,3.8117987752052896e-07,z
0,1.9000000000000001,12,0,0.4,3.6310240752309437e-07,x
0,1.9000000000000001,12,0,0.4,3.195485778705135e-07,z
0,1.92,12,0,0.4,3.0155811837688954e-07,x
0,1.92,12,0,0.4,2.680570857926783e-07,z
0,1.94,12,0,0.4,2.517960191445707e-07,x
0,1.94,12,0,0.4,2.2605600198926918e-07,z
0,1.96,12,0,0.4,2.1068982815600965e-07,x
0,1.96,12,0,0.4,1.9102012109403825e-07,z
0,1.98,12,0,0.4,1.782613673213784e-07,x
0,1.98,12,0,0.4,1.6320054323540683e-07,z
0,2.0,12,0,0.4,1.498413368391477e-07,x
0,2.0,12,0,0.4,1.3851418949629986e-07,z
0,0.02,3,0,0.6,0.5902014363842779,x
0,0.02,3,0,0.6,0.10835842435415415,z
0,0.04,4,0,0.6,0.5804393191984518,x
0,0.04,4,0,0.6,0.10768751659238233,z
0,0.06,4,0,0.6,0.5707057434764936,x
0,0.06,4,0,0.6,0.10700042666895278,z
0,0.08,4,0,0.6,0.560994013736448,x
0,0.08,4,0,0.6,0.10629625933758893,z
0,0.1,4,0,0.6,0.5512986279678812,x
0,0.1,4,0,0.6,0.10557415076023416,z
0,0.12,4,0,0.6,0.5416152200789998,x
0,0.12,4,0,0.6,0.10483327230080759,z
0,0.14,4,0,0.6,0.5319404747065737,x
0,0.14,4,0,0.6,0.1040728325241876,z
0,0.16,4,0,0.6,0.5222720267783433,x
0,0.16,4,0,0.6,0.10329207768546123,z
0,0.18,4,0,0.6,0.5126083555170298,x
0,0.18,4,0,0.6,0.10249029124430316,z
0,0.2,4,0,0.6,0.5029486797224897,x
0,0.2,4,0,0.6,0.10166679283386677,z
0,0.22,5,0,0.6,0.49329284320434535,x
0,0.22,5,0,0.6,0.10082092098866034,z
0,0.24,5,0,0.6,0.4836412712481403,x
0,0.24,5,0,0.6,0.0999520848638684,z
0,0.26,5,0,0.6,0.4739948287011549,x
0,0.26,5,0,0.6,0.09905969383227844,z
0,0.28,5,0,0.6,0.4643547815803858,x
0,0.28,5,0,0.6,0.09814319714927576,z
0,0.3,5,0,0.6,0.45472272583946505,x
0,0.3,5,0,0.6,0.09720207387112163,z
0,0.32,5,0,0.6,0.4451005321478334,x
0,0.32,5,0,0.6,0.09623583218688217,z
0,0.34,5,0,0.6,0.4354902983411681,x
0,0.34,5,0,0.6,0.09524400899614983,z
0,0.36,5,0,0.6,0.4258943087241199,x
0,0.36,5,0,0.6,0.09422616972771938,z
0,0.38,6,0,0.6,0.4163149540324911,x
0,0.38,6,0,0.6,0.09318188641685886,z
0,0.4,6,0,0.6,0.40675485218290075,x
0,0.4,6,0,0.6,0.09211081204900802,z
0,0.42,6,0,0.6,0.39721662688671433,x
0,0.42,6,0,0.6,0.09101258295359088,z
