N,alpha,ensemble_type,n_iter,prior_rho,source,v,x_id
1000,0.9795918367346939,gaussian,4.0,0.25,SE,4.058145403754141e-09,x
1000,0.9795918367346939,gaussian,4.0,0.25,EP,3.47491511120646e-09,x
1000,0.9795918367346939,gaussian,,0.25,mse,2.235649125032966e-09,x
1000,1.0,gaussian,2.0,0.25,SE,2.7499210576320653e-10,x
1000,1.0,gaussian,2.0,0.25,EP,2.840201861877037e-10,x
1000,1.0,gaussian,,0.25,mse,1.528440270898617e-10,x
1000,0.02040816326530612,gaussian,3.0,0.5,SE,0.4899941303115555,x
1000,0.02040816326530612,gaussian,5.0,0.5,EP,0.4962216585345655,x
1000,0.02040816326530612,gaussian,,0.5,mse,0.5016512724561777,x
1000,0.04081632653061224,gaussian,3.0,0.5,SE,0.47995423121623515,x
1000,0.04081632653061224,gaussian,5.0,0.5,EP,0.47507819311263866,x
1000,0.04081632653061224,gaussian,,0.5,mse,0.44926248735175783,x
1000,0.061224489795918366,gaussian,3.0,0.5,SE,0.4693425343059079,x
1000,0.061224489795918366,gaussian,5.0,0.5,EP,0.472188774202212,x
1000,0.061224489795918366,gaussian,,0.5,mse,0.43353458907772585,x
1000,0.08163265306122448,gaussian,3.0,0.5,SE,0.4591428026270434,x
1000,0.08163265306122448,gaussian,6.0,0.5,EP,0.46019101147134817,x
1000,0.08163265306122448,gaussian,,0.5,mse,0.4886898427378381,x
1000,0.1020408163265306,gaussian,4.0,0.5,SE,0.4483115593509179,x
1000,0.1020408163265306,gaussian,8.0,0.5,EP,0.46122351182757887,x
1000,0.1020408163265306,gaussian,,0.5,mse,0.44127076489132466,x
1000,0.12244897959183673,gaussian,4.0,0.5,SE,0.43786285300200056,x
1000,0.12244897959183673,gaussian,6.0,0.5,EP,0.42892383898660263,x
1000,0.12244897959183673,gaussian,,0.5,mse,0.44395338994188843,x
1000,0.14285714285714285,gaussian,4.0,0.5,SE,0.42727087695394544,x
1000,0.14285714285714285,gaussian,7.0,0.5,EP,0.43572381855884856,x
1000,0.14285714285714285,gaussian,,0.5,mse,0.43303306058348745,x
1000,0.16326530612244897,gaussian,4.0,0.5,SE,0.41598424652526506,x
1000,0.16326530612244897,gaussian,8.0,0.5,EP,0.42168954303500145,x
1000,0.16326530612244897,gaussian,,0.5,mse,0.4544365706207035,x
1000,0.18367346938775508,gaussian,5.0,0.5,SE,0.4050700864490014,x
1000,0.18367346938775508,gaussian,8.0,0.5,EP,0.3946499850824039,x
1000,0.18367346938775508,gaussian,,0.5,mse,0.3632993998623489,x
1000,0.2040816326530612,gaussian,5.0,0.5,SE,0.3934308347280019,x
1000,0.2040816326530612,gaussian,8.0,0.5,EP,0.39485143662087596,x
1000,0.2040816326530612,gaussian,,0.5,mse,0.4355088213220037,x
1000,0.22448979591836732,gaussian,5.0,0.5,SE,0.38217067143174344,x
1000,0.22448979591836732,gaussian,9.0,0.5,EP,0.3706823429809454,x
1000,0.22448979591836732,gaussian,,0.5,mse,0.3553573897924509,x
1000,0.24489795918367346,gaussian,5.0,0.5,SE,0.37073638622307115,x
1000,0.24489795918367346,gaussian,8.0,0.5,EP,0.3805916577370904,x
1000,0.24489795918367346,gaussian,,0.5,mse,0.379710140743922,x
1000,0.26530612244897955,gaussian,6.0,0.5,SE,0.35854011385113027,x
1000,0.26530612244897955,gaussian,10.0,0.5,EP,0.37014934151726303,x
1000,0.26530612244897955,gaussian,,0.5,mse,0.42927150197552216,x
1000,0.2857142857142857,gaussian,6.0,0.5,SE,0.3467410348857359,x
1000,0.2857142857142857,gaussian,10.0,0.5,EP,0.35613829410514,x
1000,0.2857142857142857,gaussian,,0.5,mse,0.34352819929090866,x
1000,0.3061224489795918,gaussian,6.0,0.5,SE,0.334156629169927,x
