alpha,source,rho,v
0.47000000000000003,BO,0.5,0.2284439908948769
0.48000000000000004,SE,0.5,0.22151401457439
0.48000000000000004,BO,0.5,0.22151343735815682
0.49,SE,0.5,0.21451589984315586
0.49,BO,0.5,7.838565152083989e-06
0.5,SE,0.5,0.20744721607581743
0.5,BO,0.5,6.542696427298343e-06
0.51,SE,0.5,0.20030383999748702
0.51,BO,0.5,5.454556878040562e-06
0.52,SE,0.5,0.1930807935135705
0.52,BO,0.5,4.541460326290117e-06
0.53,SE,0.5,0.1857733318876925
0.53,BO,0.5,3.776007285354656e-06
0.54,SE,0.5,0.17837447148898852
0.54,BO,0.5,3.1350202434480376e-06
0.55,SE,0.5,0.17087721366869038
0.55,BO,0.5,2.59888147331992e-06
0.56,SE,0.5,0.16327176306131966
0.56,BO,0.5,2.150991720362396e-06
0.5700000000000001,SE,0.5,0.1555476645930183
0.5700000000000001,BO,0.5,1.777312232007666e-06
0.5800000000000001,SE,0.5,0.14769027821235384
0.5800000000000001,BO,0.5,1.4659762369705706e-06
0.59,SE,0.5,0.1396826705159325
0.59,BO,0.5,1.2069591133420561e-06
0.6,SE,0.5,0.1315025170423666
0.6,BO,0.5,9.917985326516599e-07
0.61,SE,0.5,0.1231204755511007
0.61,BO,0.5,8.133563265994554e-07
0.62,SE,0.5,0.11449621749466848
0.62,BO,0.5,6.656577441034909e-07
0.63,SE,0.5,0.10557445756035358
0.63,BO,0.5,5.435493547088356e-07
0.64,SE,0.5,0.09626976848198956
0.64,BO,0.5,4.4281828143615754e-07
0.65,SE,0.5,0.08644884463953031
0.65,BO,0.5,3.5988356970017876e-07
0.66,SE,0.5,0.07586964711860189
0.66,BO,0.5,2.917608915505909e-07
0.67,SE,0.5,0.06401096417627632
0.67,BO,0.5,2.3590476111919204e-07
0.68,SE,0.5,0.04915322188921079
0.68,BO,0.5,1.9019861974096654e-07
0.6900000000000001,SE,0.5,7.724046681330446e-07
0.6900000000000001,BO,0.5,1.528993383903997e-07
0.7000000000000001,SE,0.5,7.062509451219337e-07
0.7000000000000001,BO,0.5,1.225367920312546e-07
0.7100000000000001,SE,0.5,6.745447551376973e-07
0.7100000000000001,BO,0.5,9.789233056303973e-08
0.72,SE,0.5,4.093191572118614e-07
0.72,BO,0.5,7.793238607734246e-08
0.73,SE,0.5,5.272612946316803e-07
0.73,BO,0.5,6.181907026806868e-08
0.74,SE,0.5,2.4554548141864073e-07
0.74,BO,0.5,4.88510289115963e-08
0.75,SE,0.5,1.999801089563275e-07
0.75,BO,0.5,3.8448169724739355e-08
0.76,SE,0.5,2.5095828310845144e-07
0.76,BO,0.5,3.0131725527953416e-08
0.77,SE,0.5,1.3787964795735465e-07
0.77,BO,0.5,2.3507449144258093e-08
0.78,SE,0.5,3.2312903866641795e-07
0.78,BO,0.5,1.8251466212677948e-08
0.79,SE,0.5,2.764756911487677e-07
0.79,BO,0.5,1.4098382098802078e-08
0.8,SE,0.5,2.7756259656052114e-07
0.8,BO,0.5,1.0831298740830655e-08
0.81,SE,0.5,7.73127864463351e-08
0.81,BO,0.5,8.273448126906569e-09
0.8200000000000001,SE,0.5,9.708065171143937e-08
0.8200000000000001,BO,0.5,6.281192455282157e-09
0.8300000000000001,SE,0.5,1.393340534106188e-07
0.8300000000000001,BO,0.5,4.738177960695788e-09
0.8400000000000001,SE,0.5,2.279672689871834e-07
0.8400000000000001,BO,0.5,3.550460787704681e-09
0.85,SE,0.5,7.66656693832217e-08
0.85,BO,0.5,2.6424498943307866e-09
0.86,SE,0.5,1.512532002106344e-07
0.86,BO,0.5,1.9535344481108797e-09
0.87,SE,0.5,5.1917608370245125e-08
0.87,BO,0.5,1.4352823386672068e-09
0.88,SE,0.5,1.2291229246714696e-07
0.88,BO,0.5,1.0491136773248003e-09
0.89,SE,0.5,4.212557540228757e-08
0.89,BO,0.5,7.643711489199906e-10
0.9,SE,0.5,1.1975940389051783e-07
0.9,BO,0.5,5.567315303775136e-10
0.91,SE,0.5,3.9912926024078246e-08
0.91,BO,0.5,4.069298517356622e-10
0.92,SE,0.5,1.2164330063012487e-08
0.92,BO,0.5,2.9978579278332826e-10
0.93,SE,0.5,4.260533348282739e-08
0.93,BO,0.5,2.2350278141737187e-10
0.9400000000000001,SE,0.5,1.1584609309904269e-08
0.9400000000000001,BO,0.5,1.6915105742246886e-10
0.9500000000000001,SE,0.5,4.763185397494205e-08
0.9500000000000001,BO,0.5,1.302090607603918e-10
0.9600000000000001,SE,0.5,1.0163620164092641e-08
0.9600000000000001,BO,0.5,1.0208251155624783e-10
0.97,SE,0.5,1.6726500259489536e-09
0.97,BO,0.5,8.160807815858044e-11
0.98,SE,0.5,5.068677622706612e-09
0.98,BO,0.5,6.660238693521252e-11
0.99,SE,0.5,3.9955552584359357e-10
0.99,BO,0.5,5.551918669507634e-11
1.0,SE,0.5,2.1507351560506383e-10
1.0,BO,0.5,4.723729408399273e-11
