alpha,source,rho,v
0.5,SE,0.6,0.5994308652848765
0.5,BO,0.6,0.5971519761219257
0.51,SE,0.6,0.5974389222776051
0.51,BO,0.6,0.5955446992796957
0.52,SE,0.6,0.5948583042141812
0.52,BO,0.6,0.5934407340404811
0.53,SE,0.6,0.5920912269441161
0.53,BO,0.6,0.5909882912835226
0.54,SE,0.6,0.5891466912644082
0.54,BO,0.6,0.588260688445488
0.55,SE,0.6,0.5860764420872138
0.55,BO,0.6,0.5853010044896624
0.56,SE,0.6,0.5828613506116086
0.56,BO,0.6,0.5821814630522897
0.5700000000000001,SE,0.6,0.5794826702725827
0.5700000000000001,BO,0.6,0.5789142103206537
0.5800000000000001,SE,0.6,0.5760091946783497
0.5800000000000001,BO,0.6,0.5754460177876121
0.59,SE,0.6,0.5723409675301658
0.59,BO,0.6,0.5718414384128536
0.6,SE,0.6,0.5685758539026616
0.6,BO,0.6,0.5680838589932654
0.61,SE,0.6,0.5646441626510358
0.61,BO,0.6,0.5642020514070153
0.62,SE,0.6,0.5605765198604215
0.62,BO,0.6,0.5601219197808956
0.63,SE,0.6,0.5563348650312245
0.63,BO,0.6,0.5559493514928193
0.64,SE,0.6,0.5519837797743956
0.64,BO,0.6,0.5515806685214902
0.65,SE,0.6,0.5474506185445647
0.65,BO,0.6,0.5470774281858085
0.66,SE,0.6,0.5427656140851332
0.66,BO,0.6,0.5423877392214628
0.67,SE,0.6,0.5379237887868243
0.67,BO,0.6,0.0007820664175196693
0.68,SE,0.6,0.5329201139458445
0.68,BO,0.6,0.0007207484619066302
0.6900000000000001,SE,0.6,0.5277494179694675
0.6900000000000001,BO,0.6,0.0006630635076433065
0.7000000000000001,SE,0.6,0.5224063309425139
0.7000000000000001,BO,0.6,0.0006088316951133727
0.7100000000000001,SE,0.6,0.5168448158607961
0.7100000000000001,BO,0.6,0.0005578838915211085
0.72,SE,0.6,0.5111350371753407
0.72,BO,0.6,0.00041711685872386554
0.73,SE,0.6,0.5051920504440214
0.73,BO,0.6,0.00026817737697296037
0.74,SE,0.6,0.4990863426317019
0.74,BO,0.6,0.00021427486795576212
0.75,SE,0.6,0.49272795983171647
0.75,BO,0.6,0.00017034781261194648
0.76,SE,0.6,0.4861483487209348
0.76,BO,0.6,0.00013467748754759373
0.77,SE,0.6,0.4793793223664707
0.77,BO,0.6,0.00010582692894254409
0.78,SE,0.6,0.4723219810431989
0.78,BO,0.6,8.259574633004725e-05
0.79,SE,0.6,0.46500711398365807
0.79,BO,0.6,6.3982180153426e-05
0.8,SE,0.6,0.457419898420285
0.8,BO,0.6,4.915123390531526e-05
0.81,SE,0.6,0.44954385249661405
0.81,BO,0.6,3.740789750467302e-05
0.8200000000000001,SE,0.6,0.44136050188208165
